t,x1_initial,x1,u
0.49,-22.0,-16.604140447398116,11.256047497048751
0.5,-22.0,-16.494781240718474,11.277329844589891
0.51,-22.0,-16.385465566951265,11.244787059421448
0.52,-22.0,-16.276191329811557,11.212244274253004
0.53,-22.0,-16.166956221112763,11.179701489084557
0.54,-22.0,-16.057757720766645,11.147158703916112
0.55,-22.0,-15.948593096783306,11.114615918747667
0.56,-22.0,-15.839459405271192,11.082073133579224
0.5700000000000001,-22.0,-15.730353490437103,11.049530348410778
0.58,-22.0,-15.621271984586176,11.016987563242331
0.59,-22.0,-15.5122113081219,10.98444477807389
0.6,-22.0,-15.403167669546102,10.951901992905443
0.61,-22.0,-15.294137065458958,10.934133610209969
0.62,-22.0,-15.18511528055899,10.916365227514493
0.63,-22.0,-15.076097887643066,10.898596844819018
0.64,-22.0,-14.967080247606397,10.880828462123542
0.65,-22.0,-14.858057509442538,10.863060079428067
0.66,-22.0,-14.749024610243392,10.845291696732591
0.67,-22.0,-14.63997627519921,10.827523314037117
0.68,-22.0,-14.53090701759858,10.809754931341642
0.6900000000000001,-22.0,-14.421811138828442,10.791986548646166
0.7000000000000001,-22.0,-14.312682728374078,10.77421816595069
0.71,-22.0,-14.203515663819122,10.826958601758554
0.72,-22.0,-14.09430361084554,10.87969903756642
0.73,-22.0,-13.985040023233651,10.932439473374282
0.74,-22.0,-13.87571814286213,10.985179909182149
0.75,-22.0,-13.766330999707975,11.037920344990011
0.76,-22.0,-13.656871411846549,11.090660780797876
0.77,-22.0,-13.547331985451546,11.143401216605742
0.78,-22.0,-13.437705114795016,11.196141652413607
0.79,-22.0,-13.327982982247345,11.248882088221471
0.8,-22.0,-13.218157558277275,11.301622524029336
0.81,-22.0,-13.10822060145188,11.30570822982644
0.8200000000000001,-22.0,-12.998163658436589,11.309793935623542
0.8300000000000001,-22.0,-12.887978063995181,11.313879641420646
0.84,-22.0,-12.777654940989764,11.317965347217749
0.85,-22.0,-12.667185200380802,11.322051053014855
0.86,-22.0,-12.5565595412271,11.326136758811955
0.87,-22.0,-12.445768450685819,11.330222464609061
0.88,-22.0,-12.334802204012451,11.334308170406162
0.89,-22.0,-12.22365086456084,11.338393876203268
0.9,-22.0,-12.112304283783175,11.34247958200037
0.91,-22.0,-12.00075210122999,11.302697612054054
0.92,-22.0,-11.888983744550162,11.262915642107734
0.93,-22.0,-11.77698842949092,11.223133672161419
0.9400000000000001,-22.0,-11.664967107967302,11.183351702215099
0.9500000000000001,-22.0,-11.553332500794882,11.143569732268784
0.96,-22.0,-11.442095713321928,11.103787762322465
0.97,-22.0,-11.331256745548433,11.064005792376149
0.98,-22.0,-11.220815597474404,11.02422382242983
0.99,-22.0,-11.110772269099837,10.984441852483513
1.0,-22.0,-11.001126760424732,10.944659882537195
0.0,-21.0,-21.0,10.556920333269879
0.01,-21.0,-20.894462902400548,10.550499186620103
0.02,-21.0,-20.788990016267597,10.544078039970325
0.03,-21.0,-20.683581341601144,10.537656893320548
0.04,-21.0,-20.578236878401185,10.531235746670772
0.05,-21.0,-20.472956626667727,10.524814600020994
0.06,-21.0,-20.367740586400767,10.518393453371218
0.07,-21.0,-20.2625887576003,10.511972306721441
0.08,-21.0,-20.157501140266337,10.505551160071663
0.09,-21.0,-20.05247773439887,10.499130013421887
0.1,-21.0,-19.947518463081387,10.49270886677211
0.11,-21.0,-19.842539468200865,10.454020884021269
0.12,-21.0,-19.737473192748457,10.415332901270427
0.13,-21.0,-19.632329232297767,10.376644918519583
0.14,-21.0,-19.52711685008854,10.33795693576874
0.15,-21.0,-19.421844977026645,10.2992689530179
0.16,-21.0,-19.3165222116841,10.260580970267057
0.17,-21.0,-19.211156820299053,10.221892987516217
0.18,-21.0,-19.10575673677579,10.183205004765373
0.19,-21.0,-19.00032956268473,10.144517022014531
0.2,-21.0,-18.89488256726243,10.10582903926369
0.21,-21.0,-18.789422687411587,10.136141604889971
0.22,-21.0,-18.683956527701024,10.166454170516253
0.23,-21.0,-18.578490360365706,10.196766736142536
0.24,-21.0,-18.47303012530674,10.22707930176882
0.25,-21.0,-18.367581430091352,10.257391867395102
0.26,-21.0,-18.26214954995292,10.287704433021384
0.27,-21.0,-18.156739427790953,10.318016998647666
0.28,-21.0,-18.051355674171095,10.34832956427395
0.29,-21.0,-17.946002567325127,10.378642129900232
0.3,-21.0,-17.840684053150962,10.408954695526514
0.31,-21.0,-17.735403745212654,10.443163122123385
0.32,-21.0,-17.63016492474039,10.477371548720257
0.33,-21.0,-17.524970540630495,10.511579975317128
0.34,-21.0,-17.41982320944543,10.545788401914
0.35000000000000003,-21.0,-17.314725215413787,10.57999682851087
0.36,-21.0,-17.2096785104303,10.614205255107741
0.37,-21.0,-17.104684714055843,10.648413681704612
0.38,-21.0,-16.999745113517406,10.682622108301485
0.39,-21.0,-16.89486066370814,10.716830534898355
0.4,-21.0,-16.79003198718732,10.751038961495226
0.41000000000000003,-21.0,-16.685259374180347,10.750378744234574
0.42,-21.0,-16.58054278257878,10.749718526973924
0.43,-21.0,-16.4758818379403,10.749058309713273
0.44,-21.0,-16.371275833488724,10.748398092452623
0.45,-21.0,-16.266723730114002,10.747737875191971
0.46,-21.0,-16.162224156372236,10.74707765793132
